Traffic Rate,Max Delay,Max Target Delay,Max Merge Delay,Min Delay,Min Target Delay,Min Merge Delay,Average Delay,Average Target Delay,Average Merge Delay,Std Dev Delay,Std Dev Target Delay,Std Dev Merge Delay,Throughput,Throughput Target,Throughput Merge,Completed Vehicles,Completed Target Vehicles,Completed Merge Vehicles
500,5.042,1.806,5.042,0,0,0.024,0.703488202,0.057068334,1.357307466,0.952532947,0.253993626,0.946301766,0.232429486,0.117182863,0.11618199,235,118,117
1000,7.192,3.485,7.192,0,0,0.042,1.243369376,0.162764967,2.352391232,1.551515794,0.538394718,1.453826734,0.384164021,0.195102604,0.189940738,390,197,192
1500,10.641,6.558,10.641,0,0,0.025,1.841883586,0.430523808,3.242497857,2.218617179,1.126065183,2.090391685,0.492794301,0.246192871,0.24760596,500,249,251
2000,51.933,46.319,51.933,0,0,0.198,24.95628218,23.35605938,26.57947173,15.35617302,14.50421384,15.9460992,0.54497137,0.274916473,0.27090576,574,289,285
2500,64.868,59.707,64.868,0,0,0.092,45.78475814,44.13966793,47.45347253,18.12962173,17.47276317,18.60647089,0.539714345,0.272189778,0.268339971,577,290,287
